Playback2.acq
Graph Created on: 2024-02-26 21:48:18.248
Recording on: 2024-02-26 21:49:05.654
2.48756 msec/sample
5 channels
Count
number
ECG
µV
PPG
µV
EDA
µS
Temperature
C
sec,CH1,CH2,CH3,CH4,CH5,
,8022 samples,8022 samples,8022 samples,8022 samples,8022 samples,
10.6816,80,4167,1616.9,1.53152,29.5146,
10.6841,80,4167,1615.62,1.53152,29.5146,
10.6866,80,4167,1620.46,1.53152,29.5146,
10.6891,80,4167,1618.42,1.53152,29.5146,
10.6915,80,4167,1614.61,1.53152,29.5146,
10.694,80,4167,1611.05,1.53152,29.5146,
10.6965,80,4167,1609.01,1.53152,29.5146,
10.699,80,4167,1609.52,1.53152,29.5146,
10.7015,80,4167,1611.81,1.53152,29.5146,
10.704,80,4167,1606.47,1.53152,29.5146,
10.7065,80,4167,1603.67,1.53152,29.5146,
10.709,80,4167,1607.23,1.53152,29.5146,
10.7114,80,4167,1611.81,1.53152,29.5146,
10.7139,80,4167,1611.56,1.53152,29.5146,
10.7164,80,4167,1614.86,1.53152,29.5146,
10.7189,80,4167,1608.76,1.53152,29.5146,
10.7214,80,4167,1612.32,1.53152,29.5146,
10.7239,81,4167,1613.84,1.53077,29.5251,
10.7264,81,4167,1611.56,1.53077,29.5251,
10.7289,81,4167,1612.06,1.53077,29.5251,
10.7313,81,4167,1613.08,1.53077,29.5251,
10.7338,81,4167,1613.34,1.53077,29.5251,
10.7363,81,4167,1613.84,1.53077,29.5251,
10.7388,81,4167,1616.39,1.53077,29.5251,
10.7413,81,4167,1620.46,1.53077,29.5251,
10.7438,81,4167,1621.22,1.53077,29.5251,
10.7463,81,4167,1630.89,1.53077,29.5251,
10.7488,81,4167,1639.53,1.53077,29.5251,
10.7512,81,4167,1648.44,1.53077,29.5251,
10.7537,81,4167,1650.98,1.53077,29.5251,
10.7562,81,4167,1656.83,1.53077,29.5251,
10.7587,81,4167,1655.81,1.53077,29.5251,
10.7612,81,4167,1667,1.53077,29.5251,
10.7637,81,4167,1668.28,1.53077,29.5251,
10.7662,81,4167,1674.89,1.53077,29.5251,
10.7687,81,4167,1680.74,1.53077,29.5251,
10.7711,81,4167,1686.59,1.53077,29.5251,
10.7736,81,4167,1696.76,1.53077,29.5251,
10.7761,81,4167,1703.63,1.53077,29.5251,
10.7786,81,4167,1707.44,1.53077,29.5251,
10.7811,81,4167,1715.84,1.53077,29.5251,
10.7836,81,4167,1720.67,1.53077,29.5251,
10.7861,81,4167,1729.32,1.53077,29.5251,
10.7886,81,4167,1735.68,1.53077,29.5251,
10.791,81,4167,1742.55,1.53077,29.5251,
10.7935,81,4167,1748.14,1.53077,29.5251,
10.796,81,4167,1757.81,1.53077,29.5251,
10.7985,81,4167,1762.64,1.53077,29.5251,
10.801,81,4167,1771.29,1.53077,29.5251,
10.8035,81,4167,1777.65,1.53077,29.5251,
10.806,81,4167,1781.97,1.53077,29.5251,
10.8085,81,4167,1794.43,1.53077,29.5251,
10.8109,81,4167,1800.54,1.53077,29.5251,
10.8134,81,4167,1806.9,1.53077,29.5251,
10.8159,81,4167,1809.69,1.53077,29.5251,
10.8184,81,4167,1815.8,1.53077,29.5251,
10.8209,81,4167,1824.7,1.53077,29.5251,
10.8234,82,4167,1825.72,1.53077,29.5304,
10.8259,82,4167,1839.45,1.53077,29.5304,
10.8284,82,4167,1845.3,1.53077,29.5304,
10.8308,82,4167,1854.2,1.53077,29.5304,
10.8333,82,4167,1860.31,1.53077,29.5304,
10.8358,82,4167,1866.92,1.53077,29.5304,
10.8383,82,4167,1870.74,1.53077,29.5304,
10.8408,82,4167,1876.84,1.53077,29.5304,
10.8433,82,4167,1881.67,1.53077,29.5304,
10.8458,82,4167,1880.15,1.53077,29.5304,
10.8483,82,4167,1882.44,1.53077,29.5304,
10.8507,82,4167,1886.76,1.53077,29.5304,
10.8532,82,4167,1887.78,1.53077,29.5304,
10.8557,82,4167,1888.54,1.53077,29.5304,
10.8582,82,4167,1892.87,1.53077,29.5304,
10.8607,82,4167,1895.92,1.53077,29.5304,
10.8632,82,4167,1896.43,1.53077,29.5304,
10.8657,82,4167,1895.41,1.53077,29.5304,
10.8682,82,4167,1887.27,1.53077,29.5304,
10.8706,82,4167,1887.78,1.53077,29.5304,
10.8731,82,4167,1894.14,1.5304,29.5304,
10.8756,82,4167,1895.15,1.5304,29.5304,
10.8781,82,4167,1894.14,1.5304,29.5304,
10.8806,82,4167,1893.37,1.5304,29.5304,
10.8831,82,4167,1897.44,1.5304,29.5304,
10.8856,82,4167,1898.97,1.5304,29.5304,
10.8881,82,4167,1903.04,1.5304,29.5304,
10.8905,82,4167,1902.02,1.5304,29.5304,
10.893,82,4167,1903.55,1.5304,29.5304,
10.8955,82,4167,1898.97,1.5304,29.5304,
10.898,82,4167,1897.95,1.5304,29.5304,
10.9005,82,4167,1898.21,1.5304,29.5304,
10.903,82,4167,1890.83,1.5304,29.5304,
10.9055,82,4167,1889.05,1.5304,29.5304,
10.908,82,4167,1893.37,1.5304,29.5304,
10.9104,82,4167,1888.54,1.5304,29.5304,
10.9129,82,4167,1889.3,1.5304,29.5304,
10.9154,82,4167,1891.08,1.5304,29.5304,
10.9179,82,4167,1891.85,1.5304,29.5304,
10.9204,82,4167,1892.36,1.5304,29.5304,
10.9229,83,4167,1895.92,1.5304,29.5304,
10.9254,83,4167,1900.75,1.5304,29.5304,
10.9279,83,4167,1895.66,1.5304,29.5304,
10.9303,83,4167,1896.68,1.5304,29.5304,
10.9328,83,4167,1899.48,1.5304,29.5304,
10.9353,83,4167,1895.15,1.5304,29.5304,
10.9378,83,4167,1894.65,1.5304,29.5304,
10.9403,83,4167,1894.65,1.5304,29.5304,
10.9428,83,4167,1892.87,1.5304,29.5304,
10.9453,83,4167,1894.65,1.5304,29.5304,
10.9478,83,4167,1896.43,1.5304,29.5304,
10.9502,83,4167,1892.1,1.5304,29.5304,
10.9527,83,4167,1887.02,1.5304,29.5304,
10.9552,83,4167,1888.54,1.5304,29.5304,
10.9577,83,4167,1891.59,1.5304,29.5304,
10.9602,83,4167,1890.32,1.5304,29.5304,
10.9627,83,4167,1889.3,1.5304,29.5304,
10.9652,83,4167,1888.8,1.5304,29.5304,
10.9677,83,4167,1887.02,1.5304,29.5304,
10.9701,83,4167,1886.25,1.5304,29.5304,
10.9726,83,4167,1887.52,1.5304,29.5304,
10.9751,83,4167,1882.69,1.5304,29.5304,
10.9776,83,4167,1882.44,1.5304,29.5304,
10.9801,83,4167,1880.91,1.5304,29.5304,
10.9826,83,4167,1876.08,1.5304,29.5304,
10.9851,83,4167,1877.1,1.5304,29.5304,
10.9876,83,4167,1876.33,1.5304,29.5304,
10.99,83,4167,1874.04,1.5304,29.5304,
10.9925,83,4167,1870.23,1.5304,29.5304,
10.995,83,4167,1868.45,1.5304,29.5304,
10.9975,83,4167,1864.38,1.5304,29.5304,
11,83,4167,1859.55,1.5304,29.5304,
11.0025,83,4167,1853.7,1.5304,29.5304,
11.005,83,4167,1854.2,1.5304,29.5304,
11.0075,83,4167,1852.17,1.5304,29.5304,
11.01,83,4167,1852.93,1.5304,29.5304,
11.0124,83,4167,1856.49,1.5304,29.5304,
11.0149,83,4167,1850.13,1.5304,29.5304,
11.0174,83,4167,1849.88,1.5304,29.5304,
11.0199,83,4167,1855.98,1.5304,29.5304,
11.0224,84,4167,1854.2,1.5304,29.5356,
11.0249,84,4167,1861.58,1.5304,29.5356,
11.0274,84,4167,1862.6,1.5304,29.5356,
11.0299,84,4167,1857,1.5304,29.5356,
11.0323,84,4167,1857,1.5304,29.5356,
11.0348,84,4167,1854.71,1.5304,29.5356,
11.0373,84,4167,1854.71,1.5304,29.5356,
11.0398,84,4167,1860.31,1.5304,29.5356,
11.0423,84,4167,1859.29,1.5304,29.5356,
11.0448,84,4167,1855.98,1.5304,29.5356,
11.0473,84,4167,1854.97,1.5304,29.5356,
11.0498,84,4167,1847.59,1.5304,29.5356,
11.0522,84,4167,1849.88,1.5304,29.5356,
11.0547,84,4167,1846.07,1.5304,29.5356,
